CensusId,State,County,TotalPop,Men,Women,Hispanic,White,Black,Native,Asian,Pacific,Citizen,Income,IncomeErr,IncomePerCap,IncomePerCapErr,Poverty,ChildPoverty,Professional,Service,Office,Construction,Production,Drive,Carpool,Transit,Walk,OtherTransp,WorkAtHome,MeanCommute,Employed,PrivateWork,PublicWork,SelfEmployed,FamilyWork,Unemployment
6037,California,Los Angeles,10038388,4945351,5093037,48.2,26.9,8,0.2,14,0.2,6046749,56196.0,270.0,28337,113,18.2,25.8,35.7,19.1,24.6,7.8,12.8,73,9.9,6.8,2.8,2.3,5.1,30,4635465,79,11.5,9.4,0.2,10
17031,Illinois,Cook,5236393,2537245,2699148,24.7,43.1,23.7,0.1,6.7,0,3499916,55251.0,327.0,31013,174,17.1,25.0,38.3,18.2,24.4,6.1,13,62.1,8.7,18.4,4.4,2.2,4.2,32.3,2463655,83.9,11.5,4.5,0.1,10.7
48201,Texas,Harris,4356362,2166727,2189635,41.6,31.7,18.5,0.2,6.5,0.1,2494733,54457.0,400.0,29047,174,18,26.8,34.7,17.4,23.5,11.5,12.9,79.2,11.1,2.9,1.5,2,3.3,28.2,2081889,83.4,10.1,6.3,0.1,7.5
4013,Arizona,Maricopa,4018143,1986158,2031985,30.1,57.3,4.9,1.6,3.7,0.2,2659853,54229.0,365.0,27832,173,17,24.4,36.6,18.4,27.2,8.4,9.5,76.5,11,2.4,1.6,2.6,5.9,25.5,1821038,82.5,11.7,5.7,0.2,7.7
6073,California,San Diego,3223096,1618945,1604151,32.9,47,4.7,0.4,11.2,0.4,2141755,64309.0,514.0,31266,197,14.5,18.4,40.6,19.7,23.6,7.8,8.4,76,9.3,3,2.9,2,6.8,25,1462130,77.3,14.8,7.7,0.2,8.7
6059,California,Orange,3116069,1539600,1576469,34.2,42.4,1.5,0.2,18.8,0.3,1961585,76509.0,426.0,34817,229,12.8,17.6,40.1,17.5,25.6,6.8,10.1,78.4,9.8,2.5,2,2.1,5.2,26.8,1508753,81.8,10.2,7.8,0.2,7.6
12086,Florida,Miami-Dade,2639042,1280221,1358821,65.6,15.1,16.8,0.1,1.5,0,1521585,43129.0,454.0,23850,224,20.4,27.7,31.5,21,28.2,9.1,10.2,76.9,9.2,5.5,2.2,1.9,4.3,29.9,1204871,81.9,10.2,7.7,0.2,10
36047,New York,Kings,2595259,1229001,1366258,19.6,35.7,31.2,0.2,11.4,0,1601527,48201.0,419.0,26774,203,23.2,32.9,38.5,24.1,22.3,6.3,8.8,18.6,4.4,61.7,8.8,2.5,3.9,41.7,1167448,79.1,14.4,6.5,0.1,10
48113,Texas,Dallas,2485003,1225722,1259281,39,31.5,21.8,0.2,5.6,0,1432702,50270.0,333.0,27605,246,19.3,29.3,33.3,18.2,24.5,11.2,12.9,78.2,11.2,2.9,1.5,2.1,4.1,26.5,1191958,83.9,9.5,6.4,0.1,7.6
36081,New York,Queens,2301139,1115459,1185680,27.9,26.1,17.4,0.2,24.2,0,1367889,57720.0,552.0,26876,165,15.1,20.5,32.3,24.8,24,8.2,10.7,31.6,6.4,52.3,5.8,1.5,2.4,42.6,1104930,79.9,13.6,6.4,0.1,8.6
6065,California,Riverside,2298032,1143477,1154555,47,37.8,5.9,0.4,6,0.3,1427761,56603.0,478.0,23783,187,16.8,23.3,29,21.7,25.1,11.3,13,77,13.3,1.4,1.4,1.6,5.2,32.4,920603,77.1,14.9,7.8,0.2,12.9
6071,California,San Bernardino,2094769,1042053,1052716,51.1,31.2,8.1,0.4,6.5,0.3,1292879,53433.0,571.0,21352,182,19.5,27.1,28.7,18.9,25.4,10.2,16.7,77.8,13.3,1.7,1.8,1.2,4.2,30.4,829145,76.4,16.7,6.7,0.2,12.6
53033,Washington,King,2045756,1020901,1024855,9.3,62.8,6,0.6,15.5,0.8,1414658,75302.0,690.0,41664,315,11.2,13.7,49.1,15.6,21.1,5.6,8.6,64.5,9.8,12.1,4.7,2.8,6.1,28.1,1079601,81.7,12.4,5.7,0.2,6.3
32003,Nevada,Clark,2035572,1019927,1015645,30,45.8,10.4,0.4,9,0.7,1321113,51575.0,401.0,26048,209,15.7,22.7,26.5,30.2,26.3,7.9,9.1,78.6,10.4,4,1.8,2.2,3.1,24.4,923588,84.5,10.7,4.8,0.1,10.8
48439,Texas,Tarrant,1914526,937266,977260,27.6,49.8,15.1,0.3,4.9,0.2,1219370,58711.0,488.0,29058,254,15,21.5,36.3,16,25.7,8.9,13.1,82.9,10,0.6,1.2,1.4,3.9,26.5,924741,83.1,11.4,5.4,0.1,6.9
6085,California,Santa Clara,1868149,939004,929145,26.6,33.6,2.4,0.2,33.5,0.3,1131378,96310.0,783.0,43880,313,9.5,10.9,50.5,15.2,19.6,6.5,8.2,76,10.4,3.9,2,3.2,4.6,26.3,915619,84.3,9.3,6.4,0.1,7.7
12011,Florida,Broward,1843152,894820,948332,27,40.4,26.9,0.2,3.4,0,1208582,51968.0,429.0,28381,265,14.5,19.9,35.4,19.9,28.4,8.1,8.1,79.5,9.4,3.1,1.2,2,4.9,27.8,890997,82.2,11.3,6.4,0.1,10
48029,Texas,Bexar,1825502,897690,927812,59.1,29.3,7.1,0.2,2.5,0,1212392,51150.0,405.0,24735,199,17.4,24.9,34.6,19.6,26.4,9.6,9.8,79.2,11,2.8,1.8,1.2,4,24.5,824123,79.6,14.8,5.6,0.1,7.4
26163,Michigan,Wayne,1778969,855112,923857,5.5,49.8,39.2,0.3,2.9,0,1287373,41210.0,304.0,22897,161,25,36.9,31.3,20.5,24.4,6.9,16.8,81,9.7,3.2,1.8,1.5,2.8,25.1,696900,86.1,10,3.8,0.1,14.9
36061,New York,New York,1629507,769434,860073,25.8,47.1,12.7,0.1,11.6,0,1156936,72871.0,1113.0,64993,844,17.9,24.6,59.2,13.8,20.7,2.1,4.1,6.1,1.9,59.2,20.7,5.4,6.8,31.1,884457,83.6,8.5,7.8,0.1,7.5
